Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1455208573.54732,0,1455208573,547319935,,0.558693,0.915444,-3.5918160000000006,0.082278,0.030976999999999998,0.12632000000000002,-0.988086
1455208573.55982,0,1455208573,559819936,,0.560181,0.918726,-3.592889,0.058954,0.023566,0.08888,-0.994017
1455208573.57232,0,1455208573,572319936,,0.557046,0.9227420000000001,-3.591415,0.08269800000000001,0.036074,0.13153399999999998,-0.9871969999999999
1455208573.58482,0,1455208573,584819936,,0.556887,0.926615,-3.5906239999999996,0.092908,0.039725,0.12319400000000001,-0.987225
1455208573.5973198,0,1455208573,597319935,,0.556579,0.9288790000000001,-3.590392,0.086387,0.035081,0.126797,-0.9875370000000001
1455208573.60982,0,1455208573,609819935,,0.556241,0.9316190000000001,-3.590182,0.082307,0.030129000000000003,0.12751400000000002,-0.987956
1455208573.62232,0,1455208573,622319936,,0.5559069999999999,0.9342719999999999,-3.5898480000000004,0.084709,0.030647000000000004,0.123857,-0.988203
1455208573.63482,0,1455208573,634819936,,0.555072,0.9373379999999999,-3.589539,0.086899,0.036374000000000004,0.121924,-0.988059
1455208573.64732,0,1455208573,647319936,,0.554679,0.939384,-3.5892209999999998,0.08004299999999999,0.032147,0.128117,-0.988001
1455208573.6598198,0,1455208573,659819935,,0.554283,0.9416540000000001,-3.5890459999999997,0.078253,0.028095,0.130767,-0.9879209999999999
1455208573.67232,0,1455208573,672319935,,0.552875,0.944241,-3.588773,0.081015,0.037245,0.137051,-0.9865430000000001
1455208573.68482,0,1455208573,684819936,,0.552668,0.9460069999999999,-3.5884339999999995,0.079661,0.035717,0.134323,-0.987084
1455208573.69732,0,1455208573,697319936,,0.552296,0.9474950000000001,-3.5880949999999996,0.07320800000000001,0.033497000000000006,0.133838,-0.987728
1455208573.70982,0,1455208573,709819936,,0.552053,0.950521,-3.587175,0.09255,0.040447000000000004,0.121885,-0.987392
1455208573.7223198,0,1455208573,722319935,,0.551489,0.9526040000000001,-3.586957,0.08744500000000001,0.038875,0.125211,-0.987504
1455208573.73482,0,1455208573,734819935,,0.5509569999999999,0.9540120000000001,-3.586876,0.080319,0.035572,0.126611,-0.9880549999999999
1455208573.74732,0,1455208573,747319936,,0.550388,0.955677,-3.586469,0.08139199999999999,0.034700999999999996,0.12573,-0.9881110000000001
1455208573.75982,0,1455208573,759819936,,0.550046,0.956842,-3.586151,0.08055599999999999,0.031622000000000004,0.130404,-0.987677
1455208573.77232,0,1455208573,772319936,,0.549365,0.958838,-3.585639,0.089808,0.035369,0.126702,-0.9872340000000001
1455208573.7848198,0,1455208573,784819935,,0.5488029999999999,0.960046,-3.585198,0.08935900000000001,0.03495,0.12414000000000001,-0.9876149999999999
1455208573.79732,0,1455208573,797319935,,0.5484100000000001,0.9613209999999999,-3.5849349999999998,0.08251,0.031487,0.128851,-0.9877239999999999
1455208573.80982,0,1455208573,809819936,,0.5479539999999999,0.9620489999999999,-3.58455,0.080009,0.028373000000000002,0.128966,-0.988009
1455208573.82232,0,1455208573,822319936,,0.547611,0.9627389999999999,-3.5842110000000003,0.078237,0.027325,0.128914,-0.988187
1455208573.83482,0,1455208573,834819936,,0.546691,0.964886,-3.5836230000000002,0.08617899999999999,0.035935,0.122802,-0.988029
1455208573.8473198,0,1455208573,847319935,,0.546093,0.9655469999999999,-3.583248,0.08417000000000001,0.036247,0.125632,-0.987835
1455208573.85982,0,1455208573,859819935,,0.545726,0.9663930000000001,-3.582904,0.081204,0.037047000000000004,0.12046,-0.988698
1455208573.87232,0,1455208573,872319936,,0.545301,0.967247,-3.582447,0.079652,0.038734,0.114301,-0.98949
1455208573.88482,0,1455208573,884819936,,0.544622,0.9679479999999999,-3.5819660000000004,0.08306000000000001,0.034441,0.122393,-0.9884
1455208573.89732,0,1455208573,897319936,,0.545038,0.967875,-3.5822199999999995,0.07094,0.036358,0.10884200000000001,-0.990858
1455208573.9098198,0,1455208573,909819935,,0.544556,0.968094,-3.581814,0.071573,0.032737999999999996,0.10819400000000001,-0.991009
1455208573.92232,0,1455208573,922319935,,0.544107,0.9683450000000001,-3.5814980000000003,0.07049,0.032222,0.109372,-0.990975
1455208573.93482,0,1455208573,934819936,,0.542321,0.969716,-3.580036,0.09364,0.040977,0.124857,-0.9868959999999999
1455208573.94732,0,1455208573,947319936,,0.541352,0.9693120000000001,-3.579991,0.08075,0.036486000000000005,0.135055,-0.9868680000000001
1455208573.95982,0,1455208573,959819936,,0.540748,0.9694,-3.579447,0.083024,0.036021,0.137877,-0.9863059999999999
1455208573.9723198,0,1455208573,972319935,,0.540077,0.969625,-3.578875,0.082617,0.036326,0.14013,-0.9860120000000001
1455208573.98482,0,1455208573,984819935,,0.540623,0.9691049999999999,-3.5791410000000003,0.068939,0.037795,0.11444000000000001,-0.9903139999999999
1455208573.99732,0,1455208573,997319936,,0.539258,0.969659,-3.5779910000000004,0.080515,0.033022,0.135727,-0.986917
1455208574.00982,0,1455208574,9819936,,0.5388350000000001,0.9699840000000001,-3.577578,0.078072,0.031758999999999996,0.136925,-0.9869889999999999
1455208574.02232,0,1455208574,22319936,,0.5390729999999999,0.96947,-3.5776830000000004,0.064942,0.03449,0.11657999999999999,-0.990456
1455208574.0348198,0,1455208574,34819935,,0.538254,0.9703510000000001,-3.5767160000000002,0.075894,0.040801,0.121406,-0.988856
