Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1455208573.551869,5729,1455208573,543135599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05326321764039556,-0.12996225287348842,-0.62211443064251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.190166015625,9.838740234375,-1.4944921875000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455208573.5521111,5735,1455208573,549129599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06072006869261743,-0.15339807878856412,-0.4868258139769711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047900390625000004,6.87849609375,-2.6441015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455208573.552209,5736,1455208573,550128599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10759169971682281,-0.12357066625729823,-0.6423544549271123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1794677734375,11.3811328125,-0.9244775390625001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455208573.56285,5737,1455208573,551127599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14700649217237394,-0.035153726389045944,-0.4538026164599886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9889843750000002,12.24333984375,-0.39278320312500004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455208573.562931,5741,1455208573,555123599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10546117084475942,-0.07456851052221868,0.39734360135030866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0991552734375003,6.447392578125,-3.190166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455208573.5630026,5743,1455208573,557121599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.07030745277809189,-0.24714133251459647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8861572265625001,8.909472656250001,-0.51732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455208573.563068,5745,1455208573,559119599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039414784133172724,-0.044741102152142,-0.5166532181858585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1949560546875,9.40763671875,-2.4285498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455208573.5631342,5746,1455208573,560118599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07350324608618697,-0.05326321764039556,-0.2748382078514206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6872119140625,8.138276367187501,-3.3865576171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455208573.57273,5747,1455208573,561117599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07350324608618697,-0.06285059756468081,0.12037487294920317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9675878906250001,7.2281689453125,-3.5350488281250003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455208573.5728123,5751,1455208573,565113599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1107874930249179,-0.007456850532073217,-0.05326321764039556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59029296875,7.137158203125001,-1.4897021484375002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1455208573.5728786,5752,1455208573,566112599,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07456851052221868,-0.05006742433230048,-0.39521307247824533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4178515625,6.974296875,-2.7063720703125003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
